,0
777,2004-02-17 14:02:39.000000
778,2004-02-14 01:12:39.000000
779,2004-02-14 08:22:39.000000
780,2004-02-13 01:32:39.000000
781,2004-02-14 19:02:39.000000
782,2004-02-18 06:02:39.000000
783,2004-02-16 00:12:39.000000
784,2004-02-17 13:52:39.000000
785,2004-02-17 08:22:39.000000
786,2004-02-13 07:02:39.000000
787,2004-02-13 21:02:39.000000
788,2004-02-16 08:52:39.000000
789,2004-02-15 15:02:39.000000
790,2004-02-12 18:52:39.000000
791,2004-02-14 20:02:39.000000
792,2004-02-12 15:42:39.000000
793,2004-02-16 18:42:39.000000
794,2004-02-15 13:22:39.000000
795,2004-02-12 16:02:39.000000
796,2004-02-15 02:32:39.000000
797,2004-02-19 01:22:39.000000
798,2004-02-16 08:42:39.000000
799,2004-02-13 18:12:39.000000
800,2004-02-18 07:42:39.000000
801,2004-02-13 00:12:39.000000
802,2004-02-14 17:02:39.000000
803,2004-02-17 05:12:39.000000
804,2004-02-14 16:42:39.000000
805,2004-02-15 18:02:39.000000
806,2004-02-15 22:52:39.000000
807,2004-02-14 19:32:39.000000
808,2004-02-15 07:32:39.000000
809,2004-02-13 11:42:39.000000
810,2004-02-12 17:12:39.000000
811,2004-02-16 16:32:39.000000
812,2004-02-17 22:12:39.000000
813,2004-02-13 23:32:39.000000
814,2004-02-18 06:22:39.000000
815,2004-02-19 02:12:39.000000
816,2004-02-19 04:42:39.000000
817,2004-02-13 07:12:39.000000
818,2004-02-18 22:42:39.000000
819,2004-02-17 03:12:39.000000
820,2004-02-17 14:22:39.000000
821,2004-02-14 01:42:39.000000
822,2004-02-18 20:32:39.000000
823,2004-02-18 08:52:39.000000
824,2004-02-16 22:42:39.000000
825,2004-02-17 21:22:39.000000
826,2004-02-18 17:12:39.000000
827,2004-02-13 00:52:39.000000
828,2004-02-14 13:22:39.000000
829,2004-02-18 00:52:39.000000
830,2004-02-18 07:02:39.000000
831,2004-02-14 11:22:39.000000
832,2004-02-15 13:42:39.000000
833,2004-02-13 02:42:39.000000
834,2004-02-12 13:42:39.000000
835,2004-02-13 02:02:39.000000
836,2004-02-13 05:32:39.000000
837,2004-02-15 04:42:39.000000
838,2004-02-16 05:32:39.000000
839,2004-02-15 20:12:39.000000
840,2004-02-16 22:32:39.000000
841,2004-02-12 21:12:39.000000
842,2004-02-17 21:32:39.000000
843,2004-02-14 20:22:39.000000
844,2004-02-14 18:22:39.000000
845,2004-02-12 12:42:39.000000
846,2004-02-18 19:52:39.000000
847,2004-02-14 00:42:39.000000
848,2004-02-14 04:32:39.000000
849,2004-02-17 12:12:39.000000
850,2004-02-12 13:22:39.000000
851,2004-02-16 23:02:39.000000
852,2004-02-19 06:22:39.000000
853,2004-02-14 23:12:39.000000
854,2004-02-16 02:12:39.000000
855,2004-02-18 18:32:39.000000
856,2004-02-14 19:52:39.000000
857,2004-02-17 02:12:39.000000
858,2004-02-13 23:52:39.000000
859,2004-02-15 03:12:39.000000
860,2004-02-16 12:52:39.000000
861,2004-02-17 02:52:39.000000
862,2004-02-13 14:42:39.000000
863,2004-02-18 01:12:39.000000
864,2004-02-18 07:52:39.000000
865,2004-02-18 10:42:39.000000
866,2004-02-17 03:42:39.000000
867,2004-02-17 17:12:39.000000
868,2004-02-16 21:32:39.000000
869,2004-02-14 09:12:39.000000
870,2004-02-16 02:32:39.000000
871,2004-02-12 15:22:39.000000
872,2004-02-18 13:42:39.000000
873,2004-02-16 07:12:39.000000
874,2004-02-16 01:12:39.000000
875,2004-02-12 19:32:39.000000
876,2004-02-15 04:32:39.000000
877,2004-02-18 08:02:39.000000
878,2004-02-17 14:32:39.000000
879,2004-02-18 21:52:39.000000
880,2004-02-12 16:52:39.000000
881,2004-02-14 17:32:39.000000
882,2004-02-15 08:42:39.000000
883,2004-02-14 23:32:39.000000
884,2004-02-13 06:32:39.000000
885,2004-02-17 07:32:39.000000
886,2004-02-16 17:52:39.000000
887,2004-02-16 06:12:39.000000
888,2004-02-18 21:02:39.000000
889,2004-02-16 20:22:39.000000
890,2004-02-18 13:22:39.000000
891,2004-02-15 18:12:39.000000
892,2004-02-15 10:52:39.000000
893,2004-02-14 13:42:39.000000
894,2004-02-16 22:22:39.000000
895,2004-02-12 18:02:39.000000
896,2004-02-14 17:52:39.000000
897,2004-02-16 23:52:39.000000
898,2004-02-19 02:42:39.000000
899,2004-02-15 08:02:39.000000
900,2004-02-15 06:32:39.000000
901,2004-02-19 00:52:39.000000
902,2004-02-12 20:02:39.000000
903,2004-02-12 21:32:39.000000
904,2004-02-15 21:12:39.000000
905,2004-02-16 10:12:39.000000
906,2004-02-17 09:12:39.000000
907,2004-02-15 20:32:39.000000
908,2004-02-19 04:22:39.000000
909,2004-02-16 21:42:39.000000
910,2004-02-16 15:42:39.000000
911,2004-02-16 18:02:39.000000
912,2004-02-18 02:32:39.000000
913,2004-02-14 02:42:39.000000
914,2004-02-15 12:22:39.000000
915,2004-02-18 13:32:39.000000
916,2004-02-17 23:42:39.000000
917,2004-02-18 16:32:39.000000
918,2004-02-13 23:22:39.000000
919,2004-02-14 06:42:39.000000
920,2004-02-14 15:32:39.000000
921,2004-02-18 16:42:39.000000
922,2004-02-17 14:52:39.000000
923,2004-02-19 05:02:39.000000
924,2004-02-13 08:12:39.000000
925,2004-02-13 13:02:39.000000
926,2004-02-15 22:32:39.000000
927,2004-02-18 22:02:39.000000
928,2004-02-16 05:52:39.000000
929,2004-02-16 11:22:39.000000
930,2004-02-17 06:32:39.000000
931,2004-02-13 09:42:39.000000
932,2004-02-17 00:32:39.000000
933,2004-02-13 03:12:39.000000
934,2004-02-18 04:12:39.000000
935,2004-02-13 18:42:39.000000
936,2004-02-14 21:32:39.000000
937,2004-02-17 04:52:39.000000
938,2004-02-13 23:12:39.000000
939,2004-02-16 23:22:39.000000
940,2004-02-18 20:02:39.000000
941,2004-02-14 11:32:39.000000
942,2004-02-15 06:22:39.000000
943,2004-02-16 13:42:39.000000
944,2004-02-17 22:02:39.000000
945,2004-02-14 19:22:39.000000
946,2004-02-13 06:12:39.000000
947,2004-02-13 04:32:39.000000
948,2004-02-15 13:32:39.000000
949,2004-02-17 23:12:39.000000
950,2004-02-16 19:42:39.000000
951,2004-02-19 01:02:39.000000
952,2004-02-13 10:52:39.000000
953,2004-02-13 12:52:39.000000
954,2004-02-16 12:12:39.000000
955,2004-02-16 16:52:39.000000
956,2004-02-14 00:02:39.000000
957,2004-02-16 12:32:39.000000
958,2004-02-17 07:12:39.000000
959,2004-02-13 17:02:39.000000
960,2004-02-15 13:12:39.000000
961,2004-02-14 15:02:39.000000
962,2004-02-13 05:12:39.000000
963,2004-02-18 03:42:39.000000
964,2004-02-16 13:52:39.000000
965,2004-02-18 19:12:39.000000
966,2004-02-13 08:52:39.000000
967,2004-02-17 09:02:39.000000
968,2004-02-14 04:52:39.000000
969,2004-02-13 07:32:39.000000
970,2004-02-15 02:12:39.000000
971,2004-02-14 06:52:39.000000
972,2004-02-14 11:52:39.000000
973,2004-02-18 06:12:39.000000
974,2004-02-18 14:42:39.000000
975,2004-02-15 14:02:39.000000
976,2004-02-16 00:42:39.000000
977,2004-02-16 21:02:39.000000
978,2004-02-18 03:32:39.000000
979,2004-02-13 22:32:39.000000
980,2004-02-15 00:52:39.000000
981,2004-02-13 09:32:39.000000
982,2004-02-14 15:22:39.000000
983,2004-02-16 15:52:39.000000
984,2004-02-17 18:32:39.000000
